date,day_of_week,meals_served,food_waste_lbs,post_holiday
2026-03-24,1,640,43.3,0
2026-03-25,2,644,39.3,0
2026-03-26,3,640,34.4,0
2026-03-27,4,698,40.6,0
2026-03-28,5,645,48.2,0
2026-03-31,1,698,41.2,0
2026-04-01,2,670,35.5,0
2026-04-02,3,719,33.2,0
2026-04-03,4,700,36.6,0
2026-04-04,5,661,57.7,0
2026-04-11,5,629,55,0
2026-04-14,1,654,50,0
2026-04-15,2,652,34.5,0
2026-04-16,3,673,36.3,0
2026-04-17,4,696,38.4,0
2026-04-18,5,714,51.9,0
2026-04-21,1,693,46.9,0
2026-04-22,2,694,39.4,0
2026-04-23,3,640,38.3,0
2026-04-24,4,630,34.9,0
2026-04-25,5,673,50.2,0
2026-04-28,1,660,42.8,0
2026-04-29,2,651,37,0
2026-04-30,3,698,35,0
2026-05-01,4,691,37.4,0
2026-05-02,5,669,57.6,0
2026-05-05,1,630,44.5,0
2026-05-06,2,706,40.8,0
2026-05-07,3,659,36.1,0
2026-05-08,4,660,35.4,0
2026-05-09,5,655,48.3,0
2026-05-12,1,628,39.2,0
2026-05-13,2,670,39,0
2026-05-14,3,706,30.5,0
2026-05-15,4,655,40.8,0
2026-05-16,5,623,60.3,0
2026-05-19,1,632,49.5,0
2026-05-20,2,640,41.7,0
2026-05-21,3,672,32,0
2026-05-22,4,701,41.9,0
2026-05-23,5,624,50.5,0
2026-05-26,1,660,83.6,1
2026-05-27,2,673,33.4,0
2026-05-28,3,627,32.1,0
2026-05-29,4,640,41.9,0
2026-05-30,5,719,61,0
2026-06-02,1,697,49.3,0
2026-06-03,2,631,37.5,0
2026-06-04,3,699,36.6,0
2026-06-05,4,714,42.2,0
2026-06-06,5,718,47.5,0
2026-06-09,1,646,41,0
2026-06-10,2,716,39.1,0
2026-06-11,3,663,36.2,0
2026-06-12,4,648,34.6,0
2026-06-13,5,719,57,0
2026-06-16,1,658,40.5,0
2026-06-17,2,702,37.5,0
2026-06-18,3,702,37.6,0
