date,building,kwh
2026-03-24,Main Building,872.1
2026-03-24,Gym,301.6
2026-03-24,Science Wing,439.1
2026-03-25,Main Building,975.4
2026-03-25,Gym,306.2
2026-03-25,Science Wing,440.7
2026-03-26,Main Building,914.9
2026-03-26,Gym,258.6
2026-03-26,Science Wing,447.2
2026-03-27,Main Building,818
2026-03-27,Gym,266.2
2026-03-27,Science Wing,434.6
2026-03-28,Main Building,802.3
2026-03-28,Gym,267.2
2026-03-28,Science Wing,475.2
2026-03-31,Main Building,873.5
2026-03-31,Gym,261
2026-03-31,Science Wing,499.3
2026-04-01,Main Building,974.8
2026-04-01,Gym,302.4
2026-04-01,Science Wing,428.7
2026-04-02,Main Building,855.4
2026-04-02,Gym,306.6
2026-04-02,Science Wing,509.4
2026-04-03,Main Building,821.6
2026-04-03,Gym,259.3
2026-04-03,Science Wing,532.2
2026-04-04,Main Building,966.9
2026-04-04,Gym,296.8
2026-04-04,Science Wing,473.5
2026-04-11,Main Building,880.9
2026-04-11,Gym,307.7
2026-04-11,Science Wing,507.3
2026-04-14,Main Building,1900
2026-04-14,Gym,256.1
2026-04-14,Science Wing,489.5
2026-04-15,Main Building,926.9
2026-04-15,Gym,294.6
2026-04-15,Science Wing,509.3
2026-04-16,Main Building,933.3
2026-04-16,Gym,311.2
2026-04-16,Science Wing,447.3
2026-04-17,Main Building,943.9
2026-04-17,Gym,291.7
2026-04-17,Science Wing,435.4
2026-04-18,Main Building,836.2
2026-04-18,Gym,252.4
2026-04-18,Science Wing,474.5
2026-04-21,Main Building,1001.4
2026-04-21,Gym,249.2
2026-04-21,Science Wing,460.3
2026-04-22,Main Building,831.4
2026-04-22,Gym,297.7
2026-04-22,Science Wing,479.9
2026-04-23,Main Building,842
2026-04-23,Gym,275.3
2026-04-23,Science Wing,489.3
2026-04-24,Main Building,868.9
2026-04-24,Gym,265.5
2026-04-24,Science Wing,507.6
2026-04-25,Main Building,949.3
2026-04-25,Gym,289.2
2026-04-25,Science Wing,457.3
2026-04-28,Main Building,849.3
2026-04-28,Gym,299.6
2026-04-28,Science Wing,489.1
2026-04-29,Main Building,811.5
2026-04-29,Gym,262.5
2026-04-29,Science Wing,530.4
2026-04-30,Main Building,902.3
2026-04-30,Gym,248.3
2026-04-30,Science Wing,537.2
2026-05-01,Main Building,972.9
2026-05-01,Gym,289.5
2026-05-01,Science Wing,451.2
2026-05-02,Main Building,962.3
2026-05-02,Gym,295.7
