date,bus_riders,car_riders,bike_walkers,total_students
2026-03-24,373,312,165,850
2026-03-25,374,326,150,850
2026-03-26,373,320,157,850
2026-03-27,363,313,174,850
2026-03-28,366,351,133,850
2026-03-31,366,353,131,850
2026-04-01,363,348,139,850
2026-04-02,373,326,151,850
2026-04-03,370,347,133,850
2026-04-04,378,337,135,850
2026-04-11,399,308,143,850
2026-04-14,394,292,164,850
2026-04-15,393,284,173,850
2026-04-16,367,320,163,850
2026-04-17,374,312,164,850
2026-04-18,388,293,169,850
2026-04-21,361,318,171,850
2026-04-22,382,332,136,850
2026-04-23,373,333,144,850
2026-04-24,376,304,170,850
2026-04-25,367,331,152,850
2026-04-28,367,324,159,850
2026-04-29,387,306,157,850
2026-04-30,365,350,135,850
2026-05-01,382,324,144,850
2026-05-02,379,328,143,850
2026-05-05,379,341,130,850
2026-05-06,395,301,154,850
2026-05-07,391,312,147,850
2026-05-08,385,320,145,850
2026-05-09,361,344,145,850
2026-05-12,390,325,135,850
2026-05-13,361,349,140,850
2026-05-14,372,313,165,850
2026-05-15,385,325,140,850
2026-05-16,392,300,158,850
2026-05-19,376,319,155,850
2026-05-20,385,295,170,850
2026-05-21,390,302,158,850
2026-05-22,391,313,146,850
2026-05-23,392,304,154,850
2026-05-26,400,280,170,850
2026-05-27,382,325,143,850
2026-05-28,371,322,157,850
2026-05-29,392,298,160,850
2026-05-30,387,311,152,850
2026-06-02,371,317,162,850
2026-06-03,380,298,172,850
2026-06-04,371,342,137,850
2026-06-05,390,325,135,850
2026-06-06,366,311,173,850
2026-06-09,398,318,134,850
2026-06-10,379,315,156,850
2026-06-11,362,352,136,850
2026-06-12,363,352,135,850
2026-06-13,395,299,156,850
2026-06-16,368,321,161,850
2026-06-17,368,308,174,850
2026-06-18,361,350,139,850
