date,total_lbs,recycled_lbs,landfill_lbs,compost_lbs
2026-03-24,346.8,91.6,215.7,39.5
2026-03-25,403,116.4,226.4,60.1
2026-03-26,450.6,118.2,285.5,46.9
2026-03-27,384.5,105.1,223.5,55.9
2026-03-28,343.7,83.3,207.5,52.8
2026-03-31,377.4,87.2,239.5,50.7
2026-04-01,456.7,117.6,270.2,68.9
2026-04-02,421.3,102.2,276.6,42.6
2026-04-03,410.5,96.8,265.4,48.3
2026-04-04,404.2,89.8,270,44.5
2026-04-11,413.1,121.9,230,61.2
2026-04-14,355.4,80.5,234.3,40.6
2026-04-15,423.1,117.3,251.8,54
2026-04-16,379.7,89.9,248.8,40.9
2026-04-17,385.1,93.7,238.8,52.6
2026-04-18,348.9,89.2,213.5,46.2
2026-04-21,386.4,98.3,237.1,51
2026-04-22,368.8,92.8,221.7,54.3
2026-04-23,427.6,112.2,272.3,43.1
2026-04-24,439.8,106.7,278.5,54.5
2026-04-25,422.1,119.7,239.1,63.3
2026-04-28,341.6,87.2,211.2,43.2
2026-04-29,387.2,91.5,251.7,44.1
2026-04-30,438.8,105.4,288.4,44.9
2026-05-01,415.2,123.2,229.3,62.7
2026-05-02,384.4,113.7,220.9,49.8
2026-05-05,392.7,87.4,265.2,40
2026-05-06,341.4,84.1,214.3,43
2026-05-07,383.4,108.7,236.3,38.4
2026-05-08,441.6,111.7,279,50.9
2026-05-09,390.3,96.5,254.4,39.4
2026-05-12,349.4,77.7,236.1,35.6
2026-05-13,384.3,108.2,216.7,59.4
2026-05-14,374.3,86.7,249.3,38.2
2026-05-15,370.7,84,244.3,42.5
2026-05-16,423.9,98.9,273.2,51.8
2026-05-19,409.7,111.4,250.4,48
2026-05-20,367.1,88.5,240,38.6
2026-05-21,367.4,80.9,239.4,47
2026-05-22,431.7,98,287,46.6
2026-05-23,344,96.8,204.5,42.7
2026-05-26,375.1,95.7,240.6,38.7
2026-05-27,400.1,107,240.9,52.1
2026-05-28,357.5,85.4,220.1,52
2026-05-29,430.3,120.3,251.1,58.9
2026-05-30,442.1,125.8,253.6,62.8
2026-06-02,431.9,105.5,262.9,63.5
2026-06-03,394,86.7,251.9,55.4
2026-06-04,396.3,115.7,234.6,46
2026-06-05,378.2,107.6,212.3,58.3
2026-06-06,365.1,102.6,224.2,38.3
2026-06-09,422.1,94.8,267.6,59.6
2026-06-10,392.7,103.7,246.3,42.7
2026-06-11,447.4,114.6,286.9,45.8
2026-06-12,353.8,94.6,223.5,35.7
2026-06-13,389.9,100.1,238.3,51.5
2026-06-16,363.7,105,220.3,38.4
2026-06-17,453.8,101.5,283,69.3
2026-06-18,361.6,88,222.8,50.8
