date,building,gallons
2026-03-24,Main Building,4682.1
2026-03-24,Gym,1914.4
2026-03-24,Cafeteria,2761.3
2026-03-25,Main Building,5701.1
2026-03-25,Gym,2042.9
2026-03-25,Cafeteria,2744.7
2026-03-26,Main Building,4999.1
2026-03-26,Gym,1980.5
2026-03-26,Cafeteria,2564.4
2026-03-27,Main Building,4687.1
2026-03-27,Gym,1956.4
2026-03-27,Cafeteria,2857
2026-03-28,Main Building,4785.7
2026-03-28,Gym,1873
2026-03-28,Cafeteria,2829.2
2026-03-31,Main Building,5568.1
2026-03-31,Gym,1837.2
2026-03-31,Cafeteria,2740.1
2026-04-01,Main Building,4706.7
2026-04-01,Gym,1915.7
2026-04-01,Cafeteria,3055.1
2026-04-02,Main Building,4854.3
2026-04-02,Gym,1822.4
2026-04-02,Cafeteria,2783.6
2026-04-03,Main Building,4839.6
2026-04-03,Gym,1869.3
2026-04-03,Cafeteria,2536.5
2026-04-04,Main Building,4765.9
2026-04-04,Gym,1809.4
2026-04-04,Cafeteria,2925.2
2026-04-11,Main Building,5646.7
2026-04-11,Gym,2053.7
2026-04-11,Cafeteria,2995.4
2026-04-14,Main Building,5084.1
2026-04-14,Gym,1923.9
2026-04-14,Cafeteria,3079.9
2026-04-15,Main Building,5170.5
2026-04-15,Gym,1767.3
2026-04-15,Cafeteria,2706.4
2026-04-16,Main Building,4899.5
2026-04-16,Gym,2045
2026-04-16,Cafeteria,2841.7
2026-04-17,Main Building,5272.9
2026-04-17,Gym,1896.8
2026-04-17,Cafeteria,3067.9
2026-04-18,Main Building,4825.3
2026-04-18,Gym,1837.6
2026-04-18,Cafeteria,2852.7
2026-04-21,Main Building,4934.1
2026-04-21,Gym,2087.6
2026-04-21,Cafeteria,2876
2026-04-22,Main Building,4798.7
2026-04-22,Gym,2015.7
2026-04-22,Cafeteria,3009.7
2026-04-23,Main Building,4721.9
2026-04-23,Gym,2048.4
2026-04-23,Cafeteria,2915.2
2026-04-24,Main Building,5090.3
2026-04-24,Gym,1755.2
2026-04-24,Cafeteria,2558.6
2026-04-25,Main Building,4706.4
2026-04-25,Gym,1954.8
2026-04-25,Cafeteria,2855.2
2026-04-28,Main Building,5206.6
2026-04-28,Gym,1739
2026-04-28,Cafeteria,2665.8
2026-04-29,Main Building,5071.8
2026-04-29,Gym,1971.1
2026-04-29,Cafeteria,3036.9
2026-04-30,Main Building,5218.6
2026-04-30,Gym,1989.8
2026-04-30,Cafeteria,3034.4
2026-05-01,Main Building,4735.5
2026-05-01,Gym,2049.8
2026-05-01,Cafeteria,3045.5
2026-05-02,Main Building,4707.1
2026-05-02,Gym,4800
2026-05-02,Cafeteria,2693.8
2026-05-05,Main Building,4803.1
2026-05-05,Gym,1821.7
2026-05-05,Cafeteria,2998.4
2026-05-06,Main Building,5435.6
2026-05-06,Gym,1794.7
2026-05-06,Cafeteria,2635
2026-05-07,Main Building,4938.8
2026-05-07,Gym,1927.9
2026-05-07,Cafeteria,3059.5
2026-05-08,Main Building,5106.1
2026-05-08,Gym,1828.2
2026-05-08,Cafeteria,2876.2
2026-05-09,Main Building,5111.6
2026-05-09,Gym,1725.7
2026-05-09,Cafeteria,3068.9
2026-05-12,Main Building,5139
2026-05-12,Gym,2079.2
2026-05-12,Cafeteria,2750.8
2026-05-13,Main Building,5631.9
2026-05-13,Gym,1877.6
2026-05-13,Cafeteria,2630.3
2026-05-14,Main Building,5678.5
2026-05-14,Gym,1976.1
2026-05-14,Cafeteria,2767.4
2026-05-15,Main Building,5289.9
2026-05-15,Gym,1845.2
2026-05-15,Cafeteria,2628.4
2026-05-16,Main Building,5554.8
2026-05-16,Gym,1744.9
2026-05-16,Cafeteria,2626.5
2026-05-19,Main Building,5481.1
2026-05-19,Gym,1956.8
2026-05-19,Cafeteria,2830.3
2026-05-20,Main Building,4894
2026-05-20,Gym,1896
2026-05-20,Cafeteria,2683.6
2026-05-21,Main Building,5167.1
2026-05-21,Gym,1805.1
2026-05-21,Cafeteria,2689
2026-05-22,Main Building,5267.6
2026-05-22,Gym,1808.8
2026-05-22,Cafeteria,2652.3
2026-05-23,Main Building,4934.3
2026-05-23,Gym,2004.6
2026-05-23,Cafeteria,2809.3
2026-05-26,Main Building,5663.3
2026-05-26,Gym,1795.1
2026-05-26,Cafeteria,3066.6
2026-05-27,Main Building,4724.9
2026-05-27,Gym,1760
2026-05-27,Cafeteria,3034.6
2026-05-28,Main Building,5302.1
2026-05-28,Gym,1772.3
2026-05-28,Cafeteria,3017.7
2026-05-29,Main Building,4882.3
2026-05-29,Gym,1833.8
2026-05-29,Cafeteria,3018.1
2026-05-30,Main Building,5366.4
2026-05-30,Gym,1940.3
2026-05-30,Cafeteria,2677
2026-06-02,Main Building,5067.2
2026-06-02,Gym,1949.1
2026-06-02,Cafeteria,2864.5
2026-06-03,Main Building,5131
2026-06-03,Gym,1790.8
2026-06-03,Cafeteria,3037.7
2026-06-04,Main Building,4901.4
2026-06-04,Gym,1985.4
2026-06-04,Cafeteria,3043.3
2026-06-05,Main Building,5307.6
2026-06-05,Gym,1910.4
2026-06-05,Cafeteria,2680.1
2026-06-06,Main Building,5630.3
2026-06-06,Gym,1905.7
2026-06-06,Cafeteria,2581.2
2026-06-09,Main Building,5639.7
2026-06-09,Gym,1905
2026-06-09,Cafeteria,2799.9
